_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,how_would_you_classify_the_sound,how_would_you_classify_the_sound:confidence,orig__golden,how_would_you_classify_the_sound_gold,how_would_you_classify_the_sound_gold_reason,id,url
2608663036,TRUE,golden,8,,Electronic,0.8793,TRUE,Electronic,"Some pipe organs can produce sound without electronic equipment, but this organ is created from a synthesizer- listen for the ‘robotic’ sound of the organ.",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Gloomy%20Pipe%20Organ-5739-Free-Loops.com.mp3
2608663037,TRUE,golden,10,,Electronic,1,TRUE,Electronic,This is an audio clip of an “Electric” razor…,,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Electric%20Razor.wav-18765-Free-Loops.com.mp3
2608663038,TRUE,golden,6,,Mostly Electronic,0.8464,TRUE,Mostly Electronic,"This audio clip consists of a drum kit, synthesizer, and sampled vocal shout (‘C’mon now!’). The vocal shout is “Acoustic”, but does not appear as consistently in the clip as the drum kit and synthesizer, both of which are “Electronic” sounds.",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Funky%20Breaks-6477-Free-Loops.com.mp3
2608663039,TRUE,golden,10,,Acoustic,0.9054,TRUE,Acoustic,"Human voice is generated from the vocal cords, and therefore needs no electronic equipment to produce sound.",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Female%20Count%20to%2010-14751-Free-Loops.com.mp3
2608663040,TRUE,golden,7,,Acoustic,1,TRUE,Acoustic,This is a real sampled “Acoustic” piano- the sound is produced from the piano’s strings. Listen to the resonance and reverberation of the sound- this is hard to replicate exactly using electronic equipment,,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Dramatic%20Piano.wav-13542-Free-Loops.com.mp3
2608663041,TRUE,golden,9,,Acoustic,1,TRUE,Acoustic,"This traditional Ethiopian Baganna is plucked with fingers, and therefore requires no electronic equipment to produce its sound.",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Ethiopian%20Baganna-7344-Free-Loops.com.mp3
2608663042,TRUE,golden,7,,Mostly Electronic,0.553,TRUE,Mostly Acoustic,"The “Acoustic” sound of the conversation between the game show host and contestant continue throughout the entire clip, whereas the “Electronic” beeps of the Wheel of Fortune and prize sound effects are only present in part of the audio clip.",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Game%20Show%20Sounds-16077-Free-Loops.com.mp3
2608663043,TRUE,golden,9,,Electronic,1,TRUE,Electronic,"Even though the instrument is played by a human, this bass is electric- it needs electronic equipment (specifically an amp) to produce its sound. ",,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Funk%20Bassline-8730-Free-Loops.com.mp3
2610188155,TRUE,golden,5,,Acoustic,0.6353,,Acoustic,"The bird chirps are created from the bird's vocal cords, so the sound does not require electronic equipment",34,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Dolphin%20Sounds%203-6615-Free-Loops.com.mp3
2610188314,TRUE,golden,3,,Electronic,0.6438,,,,695,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Free%20Drum%20Snare%2014-978-Free-Loops.com.mp3
2610189099,TRUE,golden,2,,Acoustic,1,,Acoustic,"An elephant's trunk made this sound, therefore no electronic equipment was required to produce the sound.",378,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Elephant%20Sound.wav-22188-Free-Loops.com.mp3
2610189183,TRUE,golden,1,,Electronic,1,,Electronic,This B3 Organ requires electronic equipment to produce its sound,322,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Electric%20Organ-8076-Free-Loops.com.mp3
2610189333,TRUE,golden,2,,Mostly Electronic,0.5102,,Acoustic,"This applause is produced by humans, and therefore does not require electronic equipment to produce the sound.",851,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Game%20Applause.wav-22083-Free-Loops.com.mp3
2610189478,TRUE,golden,3,,Acoustic,0.6818,,Acoustic,"This drums kit and bass in this sound clip is ""Acoustic"", and therefore does not require electronic equipment to produce the sound.",759,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Funk%20Brum%20Beat-13191-Free-Loops.com.mp3
2610189588,TRUE,golden,1,,Acoustic,1,,Electronic,This bass kick comes from an electronic drum kit.,707,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Free%20Kick%20Sample%202-885-Free-Loops.com.mp3
2610189793,TRUE,golden,6,,Acoustic,0.8435,,Acoustic,"These instruments are acoustic, and thereforedo not require electronic equipment to produce the sound.",859,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Gamelan%20133-8727-Free-Loops.com.mp3
2610189884,TRUE,golden,2,,Electronic,1,,Electronic,"The synthesizers and bass, and drums that make up this audio clip are all electronic.",618,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Fletch%20Theme-11433-Free-Loops.com.mp3
2610189966,TRUE,golden,1,,Electronic,1,,Electronic,"The ""wah"" synth requires electronic equipment to produce the sound.",805,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Funky%20Electro%20Bass-8832-Free-Loops.com.mp3
2610190003,TRUE,golden,2,,Electronic,1,,Electronic,This bass kick comes from an electronic drum kit.,145,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Drum%20Kick%2010-9198-Free-Loops.com.mp3
2610190027,TRUE,golden,2,,Electronic,1,,Electronic,"The ""wah"" synth requires electronic equipment to produce the sound.",305,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Elec%20Guitar%20Wah%20Wah-3282-Free-Loops.com.mp3
2610190104,TRUE,golden,7,,Acoustic,0.8453,,Acoustic,This is an acoustic drum kit- listen to the reverberation and variety of timing and notes.,192,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Drum%20Solo.wav-16869-Free-Loops.com.mp3
2610190183,TRUE,golden,3,,Electronic,1,,Electronic,This synthesizer requires electronic equipment to produce its sound.,861,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Gangsta%20Beat.mp3-15501-Free-Loops.com.mp3
2610190186,TRUE,golden,3,,Electronic,1,,Electronic,This synthesizer requires electronic equipment to produce its sound.,861,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Gangsta%20Beat.mp3-15501-Free-Loops.com.mp3
2610190353,TRUE,golden,2,,Acoustic,1,,Acoustic,This is an acoustic drum kit- listen to the reverberation and variety of timing and notes.,83,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Downtempo%20Hip%20Hop-6297-Free-Loops.com.mp3
2610190461,TRUE,golden,6,,Electronic,1,,Electronic,This is an electronic drum kit- doesn't it sound like it is played by a robot?,236,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Dub%20Loop-13332-Free-Loops.com.mp3
2610190501,TRUE,golden,1,,Mostly Electronic,1,,Mostly Acoustic,"The “Acoustic” sound of the conversation between the game show host and contestant continue throughout the entire clip, whereas the “Electronic” beeps of the Wheel of Fortune and prize sound effects are only present in part of the audio clip.",858,http://dight310.byu.edu/media/audio/FreeLoops.com/3/3/Game%20Show%20Sounds-16077-Free-Loops.com.mp3
